transaction_id,Date,customer_id,Gender,Age,product_category,Quantity,price_per_unit,total_amount,season
1,"2023-11-24 00:00:00",CUST001,Male,34,Beauty,3,50,150,NULL
2,"2023-02-27 00:00:00",CUST002,Female,26,Clothing,2,500,1000,NULL
3,"2023-01-13 00:00:00",CUST003,Male,50,Electronics,1,30,30,NULL
4,"2023-05-21 00:00:00",CUST004,Male,37,Clothing,1,500,500,NULL
5,"2023-05-06 00:00:00",CUST005,Male,30,Beauty,2,50,100,NULL
6,"2023-04-25 00:00:00",CUST006,Female,45,Beauty,1,30,30,NULL
7,"2023-03-13 00:00:00",CUST007,Male,46,Clothing,2,25,50,NULL
8,"2023-02-22 00:00:00",CUST008,Male,30,Electronics,4,25,100,NULL
9,"2023-12-13 00:00:00",CUST009,Male,63,Electronics,2,300,600,NULL
10,"2023-10-07 00:00:00",CUST010,Female,52,Clothing,4,50,200,NULL
11,"2023-02-14 00:00:00",CUST011,Male,23,Clothing,2,50,100,NULL
12,"2023-10-30 00:00:00",CUST012,Male,35,Beauty,3,25,75,NULL
13,"2023-08-05 00:00:00",CUST013,Male,22,Electronics,3,500,1500,NULL
14,"2023-01-17 00:00:00",CUST014,Male,64,Clothing,4,30,120,NULL
15,"2023-01-16 00:00:00",CUST015,Female,42,Electronics,4,500,2000,NULL
16,"2023-02-17 00:00:00",CUST016,Male,19,Clothing,3,500,1500,NULL
17,"2023-04-22 00:00:00",CUST017,Female,27,Clothing,4,25,100,NULL
18,"2023-04-30 00:00:00",CUST018,Female,47,Electronics,2,25,50,NULL
19,"2023-09-16 00:00:00",CUST019,Female,62,Clothing,2,25,50,NULL
20,"2023-11-05 00:00:00",CUST020,Male,22,Clothing,3,300,900,NULL
21,"2023-01-14 00:00:00",CUST021,Female,50,Beauty,1,500,500,NULL
22,"2023-10-15 00:00:00",CUST022,Male,18,Clothing,2,50,100,NULL
23,"2023-04-12 00:00:00",CUST023,Female,35,Clothing,4,30,120,NULL
24,"2023-11-29 00:00:00",CUST024,Female,49,Clothing,1,300,300,NULL
25,"2023-12-26 00:00:00",CUST025,Female,64,Beauty,1,50,50,NULL
26,"2023-10-07 00:00:00",CUST026,Female,28,Electronics,2,500,1000,NULL
27,"2023-08-03 00:00:00",CUST027,Female,38,Beauty,2,25,50,NULL
28,"2023-04-23 00:00:00",CUST028,Female,43,Beauty,1,500,500,NULL
29,"2023-08-18 00:00:00",CUST029,Female,42,Electronics,1,30,30,NULL
30,"2023-10-29 00:00:00",CUST030,Female,39,Beauty,3,300,900,NULL
31,"2023-05-23 00:00:00",CUST031,Male,44,Electronics,4,300,1200,NULL
32,"2023-01-04 00:00:00",CUST032,Male,30,Beauty,3,30,90,NULL
33,"2023-03-23 00:00:00",CUST033,Female,50,Electronics,2,50,100,NULL
34,"2023-12-24 00:00:00",CUST034,Female,51,Clothing,3,50,150,NULL
35,"2023-08-05 00:00:00",CUST035,Female,58,Beauty,3,300,900,NULL
36,"2023-06-24 00:00:00",CUST036,Male,52,Beauty,3,300,900,NULL
37,"2023-05-23 00:00:00",CUST037,Female,18,Beauty,3,25,75,NULL
38,"2023-03-21 00:00:00",CUST038,Male,38,Beauty,4,50,200,NULL
39,"2023-04-21 00:00:00",CUST039,Male,23,Clothing,4,30,120,NULL
40,"2023-06-22 00:00:00",CUST040,Male,45,Beauty,1,50,50,NULL
41,"2023-02-22 00:00:00",CUST041,Male,34,Clothing,2,25,50,NULL
42,"2023-02-17 00:00:00",CUST042,Male,22,Clothing,3,300,900,NULL
43,"2023-07-14 00:00:00",CUST043,Female,48,Clothing,1,300,300,NULL
44,"2023-02-19 00:00:00",CUST044,Female,22,Clothing,1,25,25,NULL
45,"2023-07-03 00:00:00",CUST045,Female,55,Electronics,1,30,30,NULL
46,"2023-06-26 00:00:00",CUST046,Female,20,Electronics,4,300,1200,NULL
47,"2023-11-06 00:00:00",CUST047,Female,40,Beauty,3,500,1500,NULL
48,"2023-05-16 00:00:00",CUST048,Male,54,Electronics,3,300,900,NULL
49,"2023-01-23 00:00:00",CUST049,Female,54,Electronics,2,500,1000,NULL
50,"2023-08-24 00:00:00",CUST050,Female,27,Beauty,3,25,75,NULL
51,"2023-10-02 00:00:00",CUST051,Male,27,Beauty,3,25,75,NULL
52,"2023-03-05 00:00:00",CUST052,Female,36,Beauty,1,300,300,NULL
53,"2023-07-13 00:00:00",CUST053,Male,34,Electronics,2,50,100,NULL
54,"2023-02-10 00:00:00",CUST054,Female,38,Electronics,3,500,1500,NULL
55,"2023-10-10 00:00:00",CUST055,Male,31,Beauty,4,30,120,NULL
56,"2023-05-31 00:00:00",CUST056,Female,26,Clothing,3,300,900,NULL
57,"2023-11-18 00:00:00",CUST057,Female,63,Beauty,1,30,30,NULL
58,"2023-11-13 00:00:00",CUST058,Male,18,Clothing,4,300,1200,NULL
59,"2023-07-05 00:00:00",CUST059,Male,62,Clothing,1,50,50,NULL
60,"2023-10-23 00:00:00",CUST060,Male,30,Beauty,3,50,150,NULL
61,"2023-04-09 00:00:00",CUST061,Male,21,Beauty,4,50,200,NULL
62,"2023-12-27 00:00:00",CUST062,Male,18,Beauty,2,50,100,NULL
63,"2023-02-05 00:00:00",CUST063,Male,57,Electronics,2,25,50,NULL
64,"2023-01-24 00:00:00",CUST064,Male,49,Clothing,4,25,100,NULL
65,"2023-12-05 00:00:00",CUST065,Male,51,Electronics,4,500,2000,NULL
66,"2023-04-27 00:00:00",CUST066,Female,45,Electronics,1,30,30,NULL
67,"2023-05-29 00:00:00",CUST067,Female,48,Beauty,4,300,1200,NULL
68,"2023-02-10 00:00:00",CUST068,Male,25,Electronics,1,300,300,NULL
69,"2023-04-30 00:00:00",CUST069,Female,56,Beauty,3,25,75,NULL
70,"2023-02-21 00:00:00",CUST070,Female,43,Clothing,1,300,300,NULL
71,"2023-07-14 00:00:00",CUST071,Female,51,Beauty,4,25,100,NULL
72,"2023-05-23 00:00:00",CUST072,Female,20,Electronics,4,500,2000,NULL
73,"2023-08-21 00:00:00",CUST073,Male,29,Electronics,3,30,90,NULL
74,"2023-11-22 00:00:00",CUST074,Female,18,Beauty,4,500,2000,NULL
75,"2023-07-06 00:00:00",CUST075,Male,61,Beauty,4,50,200,NULL
76,"2023-03-25 00:00:00",CUST076,Female,22,Electronics,2,50,100,NULL
77,"2023-07-09 00:00:00",CUST077,Female,47,Clothing,2,50,100,NULL
78,"2023-07-01 00:00:00",CUST078,Female,47,Clothing,3,500,1500,NULL
79,"2023-04-18 00:00:00",CUST079,Male,34,Beauty,1,300,300,NULL
80,"2023-12-10 00:00:00",CUST080,Female,64,Clothing,2,30,60,NULL
81,"2023-05-17 00:00:00",CUST081,Male,40,Electronics,1,50,50,NULL
82,"2023-12-26 00:00:00",CUST082,Female,32,Beauty,4,50,200,NULL
83,"2023-12-16 00:00:00",CUST083,Male,54,Electronics,2,50,100,NULL
84,"2023-11-28 00:00:00",CUST084,Female,38,Electronics,3,30,90,NULL
85,"2023-02-06 00:00:00",CUST085,Male,31,Clothing,3,50,150,NULL
86,"2023-11-08 00:00:00",CUST086,Male,19,Beauty,3,30,90,NULL
87,"2023-11-22 00:00:00",CUST087,Female,28,Beauty,2,50,100,NULL
88,"2023-03-29 00:00:00",CUST088,Male,56,Clothing,1,500,500,NULL
89,"2023-10-01 00:00:00",CUST089,Female,55,Electronics,4,500,2000,NULL
90,"2023-05-06 00:00:00",CUST090,Female,51,Electronics,1,30,30,NULL
91,"2023-03-25 00:00:00",CUST091,Female,55,Electronics,1,500,500,NULL
92,"2023-08-25 00:00:00",CUST092,Female,51,Electronics,4,30,120,NULL
93,"2023-07-14 00:00:00",CUST093,Female,35,Beauty,4,500,2000,NULL
94,"2023-05-19 00:00:00",CUST094,Female,47,Beauty,2,500,1000,NULL
95,"2023-11-24 00:00:00",CUST095,Female,32,Clothing,2,30,60,NULL
96,"2023-12-19 00:00:00",CUST096,Female,44,Clothing,2,300,600,NULL
97,"2023-10-13 00:00:00",CUST097,Female,51,Beauty,2,500,1000,NULL
98,"2023-04-23 00:00:00",CUST098,Female,55,Beauty,2,50,100,NULL
99,"2023-12-17 00:00:00",CUST099,Female,50,Electronics,4,300,1200,NULL
100,"2023-06-16 00:00:00",CUST100,Male,41,Electronics,1,30,30,NULL
101,"2023-01-29 00:00:00",CUST101,Male,32,Clothing,2,300,600,NULL
102,"2023-04-28 00:00:00",CUST102,Female,47,Beauty,2,25,50,NULL
